timestamp_ms,id,dlc,data
26280,0,8,41 F4 28 00 BF FF 07 FF
26294,130,6,0F 47 06 00 1D E4
26306,1C7,6,03 E3 84 34 3B E3
26319,25E,8,88 80 00 C6 C2 77 FF 0C
26332,0,8,41 F4 28 00 BF FF 07 FF
26344,5EE,1,A0
26356,25E,8,88 80 00 C6 C2 77 FF 0C
26370,25E,8,88 80 00 C6 C2 77 FF 0C
26382,5EE,1,A0
26396,130,6,0F 21 06 00 1D E4
26409,1C7,6,03 E3 84 34 3B E3
26422,5ED,7,02 EF 7A 6E 40 C8 C8
26434,1C7,6,03 E3 84 34 3B E3
26447,25E,8,88 80 00 C6 C2 77 FF 0C
26461,0,8,41 F4 28 00 BF FF 07 FF
26474,4BA,8,00 CA 00 BE 06 C1 00 C1
26486,130,6,0F 9A 06 00 1D E4
26499,0,8,41 F4 28 00 BF FF 07 FF
26512,2F5,7,00 00 72 14 00 00 FE
26524,5EE,1,A0
26535,1C7,6,03 E3 84 34 3B E3
26549,25E,8,88 80 00 C6 C2 77 FF 0C
26562,0,8,41 F4 28 00 BF FF 07 FF
26574,130,6,0F 03 06 00 1D E4
26588,25E,8,88 80 00 C6 C2 77 FF 0C
26611,0,8,41 F4 28 00 BF FF 07 FF
26625,4BA,8,00 CA 00 BE 06 C1 00 C1
26637,130,6,0F A9 06 00 1D E4
26650,1C7,6,03 E3 84 34 3B E3
26661,5EE,1,A0
26674,130,6,0F ED 06 00 1D E4
26686,130,6,0F DE 06 00 1D E4
26698,25E,8,88 80 00 C6 C2 77 FF 0C
26712,0,8,41 F4 28 00 BF FF 07 FF
26724,5EE,1,A0
26735,5F7,3,00 00 00
26747,25E,8,88 80 00 C6 C2 77 FF 0C
26761,0,8,41 F4 28 00 BF FF 07 FF
26774,4BA,8,00 CA 00 BE 06 C1 00 C1
26786,130,6,0F B8 06 00 1D E4
26800,0,8,41 F4 28 00 BF FF 07 FF
26815,423,8,00 D5 FF 06 65 C8 A1 C8
26828,25E,8,88 80 00 C6 C2 77 FF 0C
26842,0,8,41 F4 28 00 BF FF 07 FF
26855,5F6,6,5F 88 65 FB FF A0
26867,25E,8,88 80 00 C6 C2 77 FF 0C
26881,0,8,41 F4 28 00 BF FF 07 FF
26893,5F5,8,3E 41 3F 9C 01 66 03 80
26906,5EE,1,A0
26917,0,8,41 F4 28 00 BF FF 07 FF
26931,1C7,6,03 E3 84 34 3B E3
26942,5EE,1,A0
26954,130,6,0F A9 06 00 1D E4
26967,25E,8,88 80 00 C6 C2 77 FF 0C
26980,0,8,41 F4 28 00 BF FF 07 FF
26993,1C7,6,03 E3 84 34 3B E3
27004,5EE,1,A0
27017,1C7,6,03 E3 84 34 3B E3
27040,4BA,8,00 CA 00 BE 06 C1 00 C1
27053,130,6,0F 03 06 00 1D E4
27065,5EE,1,A0
27077,25E,8,88 80 00 C6 C2 77 FF 0C
27089,1C7,6,03 E3 84 34 3B E3
27103,4BA,8,00 CA 00 BE 06 C1 00 C1
27115,130,6,0F A9 06 00 1D E4
27128,25E,8,88 80 00 C6 C2 77 FF 0C
27142,0,8,41 F4 28 00 BF FF 07 FF
27154,5F8,2,00 10
27166,25E,8,88 80 00 C6 C2 77 FF 0C
27180,5F9,8,00 00 80 00 99 C8 72 75
27192,423,8,00 D5 FF 06 65 C8 A1 C8
27204,5EE,1,A0
27216,1C7,6,03 E3 84 34 3B E3
27229,5EA,8,00 24 34 00 E4 34 FC 34
27264,5ED,7,02 EF 7A 6E 40 C8 C8
27276,130,6,0F A9 06 00 1D E4
27288,1C7,6,03 E3 84 34 3B E3
27301,5ED,7,02 EF 7A 6E 40 C8 C8
27314,4BA,8,00 CA 00 BE 06 C1 00 C1
27326,5EE,1,A0
27337,0,8,41 F4 28 00 BF FF 07 FF
27351,5EA,8,00 24 34 00 E4 34 FC 34
27363,5EE,1,A0
27374,130,6,0F 03 06 00 1D E4
27386,25E,8,88 80 00 C6 C2 77 FF 0C
27400,0,8,41 F4 28 00 BF FF 07 FF
27412,5EC,8,00 00 03 CB EC 03 2F 11
27425,1C7,6,03 E3 84 34 3B E3
27438,25E,8,88 80 00 C6 C2 77 FF 0C
27451,5EF,5,40 00 20 00 07
27473,4BA,8,00 CA 00 BE 06 C1 00 C1
27486,130,6,0F DE 06 00 1D E4
27499,0,8,41 F4 28 00 BF FF 07 FF
27511,2F5,7,00 00 70 14 00 00 FE
27524,5F3,6,40 C2 1C 04 40 C8
27537,5EB,8,00 30 00 5F FE 00 00 A6
27549,5EA,8,00 24 34 00 E4 34 FC 34
27563,1C7,6,03 E3 84 34 3B E3
27574,5F8,2,00 10
27586,25E,8,88 80 00 C6 C2 77 FF 0C
27599,4BA,8,00 CA 00 BE 06 C1 00 C1
27612,423,8,0C C0 FF 04 65 C8 21 C8
27625,1C7,6,03 E3 84 34 3B E3
27637,25E,8,88 80 00 C6 C2 77 FF 0C
27651,5EA,8,00 24 34 00 E4 34 FC 34
27666,1C7,6,03 E3 84 34 3B E3
27678,0,8,41 F4 28 00 BF FF 07 FF
27692,423,8,0C C0 FF 04 66 C8 21 C8
27705,1C7,6,03 E3 84 34 3B E3
27717,5F6,6,5F 88 65 FB FF A0
27730,5EA,8,00 24 34 00 E4 34 FC 34
27743,1C7,6,03 E3 84 34 3B E3
27756,130,6,0F A9 06 00 1D E4
27768,25E,8,88 80 00 C6 C2 77 FF 0C
27782,0,8,41 F4 28 00 BF FF 07 FF
27794,5F3,6,40 C2 1C 04 40 C8
27806,5EE,1,A0
27819,0,8,41 F4 28 00 BF FF 07 FF
27831,0,8,41 F4 28 00 BF FF 07 FF
27844,130,6,0F 12 06 00 1D E4
27856,5EB,8,00 30 00 5F FE 00 00 A6
27880,4BA,8,00 CA 00 BE 06 C1 00 C1
27893,5EB,8,00 30 00 5F FE 00 00 A6
27907,130,6,0F B8 06 00 1D E4
27919,0,8,41 F4 28 00 BF FF 07 FF
27932,551,8,80 00 80 00 80 00 80 00
27944,1C7,6,03 E3 84 34 3B E3
27958,25E,8,88 80 00 C6 C2 77 FF 0C
27971,5F6,6,5F 88 65 FB FF A0
27983,1C7,6,03 E3 84 34 3B E3
27996,5EB,8,00 30 00 5F FE 00 00 A6
28009,1C7,6,03 E3 84 34 3B E3
28021,5ED,7,02 EF 7A 6E 40 C8 C8
28035,5EB,8,00 30 00 5F FE 00 00 A6
28047,5EE,1,A0
28059,0,8,41 F4 28 00 BF FF 07 FF
28071,423,8,0C C0 FF 04 65 C8 21 C8
28083,130,6,0F 9A 06 00 1D E4
28095,5EB,8,00 30 00 5F FE 00 00 A6
28108,25E,8,88 80 00 C6 C2 77 FF 0C
28122,0,8,41 F4 28 00 BF FF 07 FF
28134,5EB,8,00 30 00 5F FE 00 00 A6
28147,5EE,1,A0
28158,0,8,41 F4 28 00 BF FF 07 FF
28172,423,8,0C C0 FF 04 65 C8 21 C8
28184,1C7,6,03 E3 84 34 3B E3
28197,25E,8,88 80 00 C6 C2 77 FF 0C
28210,5EF,5,40 00 20 00 07
28222,1C7,6,03 E3 84 34 3B E3
28235,5EB,8,00 30 00 5F FE 00 00 A6
28249,25E,8,88 80 00 C6 C2 77 FF 0C
28262,5ED,7,02 EF 7A 6E 40 C8 C8
28284,5EB,8,00 30 00 5F FE 00 00 A6
28298,25E,8,88 80 00 C6 C2 77 FF 0C
28311,0,8,41 F4 28 00 BF FF 07 FF
28324,130,6,0F 12 06 00 1D E4
28337,130,6,0F 03 06 00 1D E4
28349,4BA,8,00 CA 00 BE 06 C1 00 C1
28361,99,1,00
28374,5EB,8,00 30 00 5F FE 00 00 A6
28386,130,6,0F B8 06 00 1D E4
28399,0,8,41 F4 28 00 BF FF 07 FF
28411,551,8,80 00 80 00 80 00 80 00
28425,1C7,6,03 E3 84 34 3B E3
28437,5F6,6,5F 88 65 FB FF A0
28450,0,8,41 F4 28 00 BF FF 07 FF
28463,1C7,6,03 E3 84 34 3B E3
28478,5EB,8,00 30 00 5F FE 00 00 A6
28491,2F5,7,00 00 70 14 00 00 FE
28504,1C7,6,03 E3 84 34 3B E3
28517,25E,8,88 80 00 C6 C2 77 FF 0C
28530,1C7,6,03 E3 84 34 3B E3
28542,4BA,8,00 CA 00 BE 06 C1 00 C1
28556,5EB,8,00 30 00 5F FE 00 00 A6
28568,1C7,6,03 E3 84 34 3B E3
28581,5ED,7,02 EF 7A 6E 40 C8 C8
28594,5EB,8,00 30 00 5F FE 00 00 A6
28606,5EE,1,A0
28618,0,8,41 F4 28 00 BF FF 07 FF
28632,423,8,0C C0 FF 04 65 C8 21 C8
28644,130,6,0F 12 06 00 1D E4
28657,1C7,6,03 E3 84 34 3B E3
28669,5EA,8,00 24 34 00 E4 34 FC 34
28693,130,6,0F 56 06 00 1D E4
28705,130,6,0F B8 06 00 1D E4
28719,0,8,41 F4 28 00 BF FF 07 FF
28732,423,8,0C C0 FF 04 65 C8 21 C8
28744,1C7,6,03 E3 84 34 3B E3
28758,25E,8,88 80 00 C6 C2 77 FF 0C
28770,5EF,5,40 00 20 00 07
28782,4BA,8,00 CA 00 BE 06 C1 00 C1
28795,5EB,8,00 30 00 5F FE 00 00 A6
28810,5EE,1,A0
28821,1C7,6,03 E3 84 34 3B E3
28834,5EB,8,00 30 00 5F FE 00 00 A6
28847,130,6,0F 56 06 00 1D E4
28860,0,8,41 F4 28 00 BF FF 07 FF
28872,1C7,6,03 E3 84 34 3B E3
28884,130,6,0F 9A 06 00 1D E4
28900,25E,8,88 80 00 C6 C2 77 FF 0C
28913,1C7,6,03 E3 84 34 3B E3
28925,130,6,0F DE 06 00 1D E4
28938,0,8,41 F4 28 00 BF FF 07 FF
28951,2F5,7,00 00 70 14 00 00 FE
28963,130,6,0F 12 06 00 1D E4
28976,5EB,8,00 30 00 5F FE 00 00 A6
28988,5EE,1,A0
28999,5ED,7,02 EF 7A 6E 40 C8 C8
29012,5F6,6,5F 88 65 FB FF A0
29025,1C7,6,03 E3 84 34 3B E3
29037,4BA,8,00 CA 00 BE 06 C1 00 C1
29050,5F9,8,00 00 80 00 99 C8 72 75
29063,1C7,6,03 E3 84 34 3B E3
29076,5EB,8,00 30 00 5F FE 00 00 A6
29099,5EE,1,A0
29110,5EC,8,00 00 03 CB EC 03 2E 11
29123,130,6,0F 12 06 00 1D E4
29135,5EB,8,00 30 00 5F FE 00 00 A6
29149,25E,8,88 80 00 C6 C2 77 FF 0C
29161,1C7,6,03 E3 84 34 3B E3
29173,5EB,8,00 30 00 5F FE 00 00 A6
29187,130,6,0F B8 06 00 1D E4
29199,0,8,41 F4 28 00 BF FF 07 FF
29211,5EC,8,00 00 03 CB EC 03 2E 11
29224,1C7,6,03 E3 84 34 3B E3
29237,25E,8,88 80 00 C6 C2 77 FF 0C
29250,5EF,5,40 00 20 00 07
29262,4BA,8,00 CA 00 BE 06 C1 00 C1
29275,5EB,8,00 30 00 5F FE 00 00 A6
29288,25E,8,88 80 00 C6 C2 77 FF 0C
29303,5F6,6,5F 88 65 FB FF A0
29316,5F7,3,00 00 00
29328,1C7,6,03 E3 84 34 3B E3
29340,5ED,7,02 EF 7A 6E 40 C8 C8
29353,4BA,8,00 CA 00 BE 06 C1 00 C1
29366,130,6,0F 9A 06 00 1D E4
29379,0,8,41 F4 28 00 BF FF 07 FF
29391,5EC,8,00 00 03 CB EC 03 2F 11
29405,130,6,0F DE 06 00 1D E4
29417,25E,8,88 80 00 C6 C2 77 FF 0C
29430,0,8,41 F4 28 00 BF FF 07 FF
29444,5F6,6,5F 88 65 FB FF A0
29456,130,6,0F 03 06 00 1D E4
29468,5EA,8,00 24 34 00 E4 34 FC 34
29481,5ED,7,02 EF 7A 6E 40 C8 C8
29505,5EB,8,00 30 00 5F FE 00 00 A6
29518,25E,8,88 80 00 C6 C2 77 FF 0C
29532,551,8,80 00 80 00 80 00 80 00
29544,1C7,6,03 E3 84 34 3B E3
29557,25E,8,88 80 00 C6 C2 77 FF 0C
29571,0,8,41 F4 28 00 BF FF 07 FF
29583,1C7,6,03 E3 84 34 3B E3
29596,5EB,8,00 30 00 5F FE 00 00 A6
29608,4BA,8,00 CA 00 BE 06 C1 00 C1
29622,4BA,8,00 CA 00 BE 06 C1 00 C1
29635,5EB,8,00 30 00 5F FE 00 00 A6
29648,25E,8,88 80 00 C6 C2 77 FF 0C
29661,5F6,6,5F 88 65 FB FF A0
29674,5EB,8,00 30 00 5F FE 00 00 A6
29686,130,6,0F 9A 06 00 1D E4
29703,0,8,41 F4 28 00 BF FF 07 FF
29715,5EB,8,00 30 00 5F FE 00 00 A6
29728,5F1,7,10 4F 00 0B FF C0 00
29742,5ED,7,02 EF 7A 6E 40 C8 C8
29754,5EB,8,00 30 00 5F FE 00 00 A6
29767,25E,8,88 80 00 C6 C2 77 FF 0C
29780,0,8,41 F4 28 00 BF FF 07 FF
29793,5EB,8,00 30 00 5F FE 00 00 A6
29806,130,6,0F 56 06 00 1D E4
29818,0,8,41 F4 28 00 BF FF 07 FF
29832,1C7,6,03 E3 84 34 3B E3
29844,130,6,0F 9A 06 00 1D E4
29857,25E,8,88 80 00 C6 C2 77 FF 0C
29870,5EE,1,20
29881,130,6,0F DE 06 00 1D E4
29904,5EB,8,00 30 00 5F FE 00 00 A6
29918,25E,8,88 80 00 C6 C2 77 FF 0C
29930,0,8,41 F4 28 00 BF FF 07 FF
29943,1C7,6,03 E3 84 34 3B E3
29956,130,6,0F 65 06 00 1D E4
29969,4BA,8,00 CA 00 BE 06 C1 00 C1
29981,5F4,8,16 00 00 00 00 00 01 04
29995,5EB,8,00 30 00 5F FE 00 00 A6
30008,25E,8,88 80 00 C6 C2 77 FF 0C
30021,5F6,6,5F 88 65 FB FF A0
30033,5EB,8,00 30 00 5F FE 00 00 A6
30047,130,6,0F DE 06 00 1D E4
30059,0,8,41 F4 28 00 BF FF 07 FF
30071,1C7,6,03 E3 84 34 3B E3
30085,130,6,0F 12 06 00 1D E4
30100,25E,8,88 80 00 C6 C2 77 FF 0C
30113,5EB,8,00 30 00 5F FE 00 00 A6
30126,130,6,0F 56 06 00 1D E4
30139,0,8,41 F4 28 00 BF FF 07 FF
30151,5EC,8,00 00 03 CB EC 03 2E 11
30164,5F6,6,5F 88 65 FB FF A0
30177,4BA,8,00 CA 00 BE 06 C1 00 C1
30190,0,8,41 F4 28 00 BF FF 07 FF
30203,130,6,0F DE 06 00 1D E4
30215,5F7,3,00 00 00
30228,5EA,8,00 24 34 00 E4 34 FC 34
30240,1C7,6,03 E3 84 34 3B E3
30254,5EB,8,00 30 00 5F FE 00 00 A6
30266,130,6,0F 74 06 00 1D E4
30278,0,8,41 F4 28 00 BF FF 07 FF
30303,5F5,8,3E 41 3F 9C 01 66 03 80
30315,5EB,8,00 30 00 5F FE 00 00 A6
30328,1C7,6,03 E3 84 34 3B E3
30341,99,1,00
30354,5EB,8,00 30 00 5F FE 00 00 A6
30366,130,6,0F DE 06 00 1D E4
30380,0,8,41 F4 28 00 BF FF 07 FF
30392,1C7,6,03 E3 84 34 3B E3
30405,130,6,0F 12 06 00 1D E4
30417,25E,8,88 80 00 C6 C2 77 FF 0C
30431,423,8,0C C0 FF 04 65 C8 21 C8
30443,130,6,0F 56 06 00 1D E4
30456,130,6,0F 47 06 00 1D E4
30469,0,8,41 F4 28 00 BF FF 07 FF
30482,130,6,0F 9A 06 00 1D E4
30494,5EB,8,00 30 00 5F FE 00 00 A6
30510,25E,8,88 80 00 C6 C2 77 FF 0C
30523,5F6,6,5F 88 65 FB FF A0
30535,5EB,8,00 30 00 5F FE 00 00 A6
30548,5EA,8,00 24 34 00 E4 34 FC 34
30561,5ED,7,02 EF 7A 6E 40 C8 C8
30574,5EB,8,00 30 00 5F FE 00 00 A6
30587,25E,8,88 80 00 C6 C2 77 FF 0C
30600,0,8,41 F4 28 00 BF FF 07 FF
30613,5F3,6,40 C2 1C 04 40 C8
30625,130,6,0F B8 06 00 1D E4
30638,0,8,41 F4 28 00 BF FF 07 FF
30650,423,8,0C C0 FF 04 65 C8 21 C8
30663,1C7,6,03 E3 84 34 3B E3
30675,130,6,0F ED 06 00 1D E4
30688,4BA,8,00 CA 00 BE 06 C1 00 C1
30711,5ED,7,02 EF 7A 6E 40 C8 C8
30724,130,6,0F 12 06 00 1D E4
30737,25E,8,88 80 00 C6 C2 77 FF 0C
30749,0,8,41 F4 28 00 BF FF 07 FF
30763,5F3,6,40 C2 1C 04 40 C8
30775,5EB,8,00 30 00 5F FE 00 00 A6
30788,5EA,8,00 24 34 00 E4 34 FC 34
30800,5ED,7,02 EF 7A 6E 40 C8 C8
30814,5EB,8,00 30 00 5F FE 00 00 A6
30826,130,6,0F FC 06 00 1D E4
30838,0,8,41 F4 28 00 BF FF 07 FF
30852,5F5,8,3E 41 3F 9C 01 66 03 80
30864,130,6,0F 30 06 00 1D E4
30877,25E,8,88 80 00 C6 C2 77 FF 0C
30893,0,8,41 F4 28 00 BF FF 07 FF
30905,130,6,0F 74 06 00 1D E4
30918,0,8,41 F4 28 00 BF FF 07 FF
30931,5EC,8,00 00 03 CB EC 03 2E 11
30944,1C7,6,03 E3 84 34 3B E3
30957,4BA,8,00 CA 00 BE 06 C1 00 C1
30969,0,8,41 F4 28 00 BF FF 07 FF
30983,1C7,6,03 E3 84 34 3B E3
30995,5EB,8,00 30 00 5F FE 00 00 A6
31008,5EA,8,00 24 34 00 E4 34 FC 34
31022,1C7,6,03 E3 84 34 3B E3
31034,5EB,8,00 30 00 5F FE 00 00 A6
31047,25E,8,88 80 00 C6 C2 77 FF 0C
31060,5ED,7,02 EF 7A 6E 40 C8 C8
31073,5EB,8,00 30 00 5F FE 00 00 A6
31096,130,6,0F 56 06 00 1D E4
31110,0,8,41 F4 28 00 BF FF 07 FF
31122,5F3,6,40 C2 1C 04 40 C8
31135,5EB,8,00 30 00 5F FE 00 00 A6
31149,5EA,8,00 24 34 00 E4 34 FC 34
31161,5ED,7,02 EF 7A 6E 40 C8 C8
31174,5EB,8,00 30 00 5F FE 00 00 A6
31187,25E,8,88 80 00 C6 C2 77 FF 0C
31200,5ED,7,02 EF 7A 6E 40 C8 C8
31213,5EB,8,00 30 00 5F FE 00 00 A6
31226,130,6,0F 74 06 00 1D E4
31239,0,8,41 F4 28 00 BF FF 07 FF
31251,5EE,1,20
31262,130,6,0F B8 06 00 1D E4
31276,130,6,0F A9 06 00 1D E4
31288,4BA,8,00 CA 00 BE 06 C1 00 C1
31304,5ED,7,02 EF 7A 6E 40 C8 C8
31316,130,6,0F ED 06 00 1D E4
31329,0,8,41 F4 28 00 BF FF 07 FF
31342,1C7,6,03 E3 84 34 3B E3
